,time,KWH
448,2006/1/20 16:59,0
449,2006/1/20 17:59,0
450,2006/1/20 18:59,0
451,2006/1/20 19:59,0
452,2006/1/20 20:59,0
453,2006/1/20 21:59,0
454,2006/1/20 22:59,0
455,2006/1/20 23:59,0
456,2006/1/21 0:59,0
457,2006/1/21 1:59,0
458,2006/1/21 2:59,0
459,2006/1/21 3:59,0
460,2006/1/21 4:59,0
461,2006/1/21 5:59,0
462,2006/1/21 6:59,0
463,2006/1/21 7:59,0
464,2006/1/21 8:59,0
465,2006/1/21 9:59,0
466,2006/1/21 10:59,0
467,2006/1/21 11:59,0
468,2006/1/21 12:59,0
469,2006/1/21 13:59,0
470,2006/1/21 14:59,3940
471,2006/1/21 15:59,3865
472,2006/1/21 16:59,3927.5
473,2006/1/21 17:59,3850
474,2006/1/21 18:59,3795
475,2006/1/21 19:59,3620
476,2006/1/21 20:59,3462.5
477,2006/1/21 21:59,3640
478,2006/1/21 22:59,3932.5
479,2006/1/21 23:59,3830
480,2006/1/22 0:59,3815
481,2006/1/22 1:59,3787.5
482,2006/1/22 2:59,3767.5
483,2006/1/22 3:59,3690
484,2006/1/22 4:59,3532.5
485,2006/1/22 5:59,3495
486,2006/1/22 6:59,3862.5
487,2006/1/22 7:59,3890
488,2006/1/22 8:59,3880
489,2006/1/22 9:59,3830
490,2006/1/22 10:59,3625
491,2006/1/22 11:59,3535
492,2006/1/22 12:59,3477.5
493,2006/1/22 13:59,3687.5
494,2006/1/22 14:59,3930
495,2006/1/22 15:59,3837.5
496,2006/1/22 16:59,3872.5
497,2006/1/22 17:59,3770
498,2006/1/22 18:59,3687.5
499,2006/1/22 19:59,3565
500,2006/1/22 20:59,3455
501,2006/1/22 21:59,3607.5
502,2006/1/22 22:59,3867.5
503,2006/1/22 23:59,3792.5
504,2006/1/23 0:59,3787.5
505,2006/1/23 1:59,3685
506,2006/1/23 2:59,3710
507,2006/1/23 3:59,3672.5
508,2006/1/23 4:59,3420
509,2006/1/23 5:59,3372.5
510,2006/1/23 6:59,3855
511,2006/1/23 7:59,3860
512,2006/1/23 8:59,3830
513,2006/1/23 9:59,3607.5
514,2006/1/23 10:59,3580
515,2006/1/23 11:59,3717.5
516,2006/1/23 12:59,3590
517,2006/1/23 13:59,3682.5
518,2006/1/23 14:59,4017.5
519,2006/1/23 15:59,3972.5
520,2006/1/23 16:59,3942.5
521,2006/1/23 17:59,3802.5
522,2006/1/23 18:59,3760
523,2006/1/23 19:59,3530
524,2006/1/23 20:59,3480
525,2006/1/23 21:59,3672.5
526,2006/1/23 22:59,3905
527,2006/1/23 23:59,3855
528,2006/1/24 0:59,3827.5
529,2006/1/24 1:59,3787.5
530,2006/1/24 2:59,3717.5
531,2006/1/24 3:59,3602.5
532,2006/1/24 4:59,3522.5
533,2006/1/24 5:59,3515
534,2006/1/24 6:59,3885
535,2006/1/24 7:59,3900
536,2006/1/24 8:59,3882.5
537,2006/1/24 9:59,3715
538,2006/1/24 10:59,3620
539,2006/1/24 11:59,3782.5
540,2006/1/24 12:59,3650
541,2006/1/24 13:59,3737.5
542,2006/1/24 14:59,3975
543,2006/1/24 15:59,3925
544,2006/1/24 16:59,3920
545,2006/1/24 17:59,3767.5
546,2006/1/24 18:59,3755
547,2006/1/24 19:59,3595
548,2006/1/24 20:59,3525
549,2006/1/24 21:59,3680
550,2006/1/24 22:59,3832.5
551,2006/1/24 23:59,3670
552,2006/1/25 0:59,3670
553,2006/1/25 1:59,3640
554,2006/1/25 2:59,3520
555,2006/1/25 3:59,3395
556,2006/1/25 4:59,3322.5
557,2006/1/25 5:59,3300
558,2006/1/25 6:59,3557.5
559,2006/1/25 7:59,3387.5
560,2006/1/25 8:59,3410
561,2006/1/25 9:59,3242.5
562,2006/1/25 10:59,3107.5
563,2006/1/25 11:59,3175
564,2006/1/25 12:59,3115
565,2006/1/25 13:59,3232.5
566,2006/1/25 14:59,3430
567,2006/1/25 15:59,3282.5
568,2006/1/25 16:59,3145
569,2006/1/25 17:59,3017.5
570,2006/1/25 18:59,3005
571,2006/1/25 19:59,2985
572,2006/1/25 20:59,2860
573,2006/1/25 21:59,2917.5
574,2006/1/25 22:59,3122.5
575,2006/1/25 23:59,3000
576,2006/1/26 0:59,3002.5
577,2006/1/26 1:59,1462.5
578,2006/1/26 2:59,2040
579,2006/1/26 3:59,2740
580,2006/1/26 4:59,2672.5
581,2006/1/26 5:59,2757.5
582,2006/1/26 6:59,2947.5
583,2006/1/26 7:59,2957.5
584,2006/1/26 8:59,2955
585,2006/1/26 9:59,2787.5
586,2006/1/26 10:59,2655
587,2006/1/26 11:59,2717.5
588,2006/1/26 12:59,2620
589,2006/1/26 13:59,2697.5
590,2006/1/26 14:59,2880
591,2006/1/26 15:59,2847.5
592,2006/1/26 16:59,2755
593,2006/1/26 17:59,2602.5
594,2006/1/26 18:59,1905
595,2006/1/26 19:59,2442.5
596,2006/1/26 20:59,2352.5
597,2006/1/26 21:59,2542.5
598,2006/1/26 22:59,2647.5
599,2006/1/26 23:59,2552.5
600,2006/1/27 0:59,2445
601,2006/1/27 1:59,2072.5
602,2006/1/27 2:59,1705
603,2006/1/27 3:59,1560
604,2006/1/27 4:59,1097.5
605,2006/1/27 5:59,546
606,2006/1/27 6:59,150
607,2006/1/27 7:59,18
608,2006/1/27 8:59,0
609,2006/1/27 9:59,0
610,2006/1/27 10:59,0
611,2006/1/27 11:59,0
612,2006/1/27 12:59,0
613,2006/1/27 13:59,0
614,2006/1/27 14:59,0
615,2006/1/27 15:59,0
616,2006/1/27 16:59,0
617,2006/1/27 17:59,0
618,2006/1/27 18:59,0
619,2006/1/27 19:59,0
620,2006/1/27 20:59,0
621,2006/1/27 21:59,0
622,2006/1/27 22:59,0
623,2006/1/27 23:59,0
624,2006/1/28 0:59,0
625,2006/1/28 1:59,0
626,2006/1/28 2:59,0
627,2006/1/28 3:59,0
628,2006/1/28 4:59,0
629,2006/1/28 5:59,0
630,2006/1/28 6:59,0
631,2006/1/28 7:59,0
632,2006/1/28 8:59,0
633,2006/1/28 9:59,0
634,2006/1/28 10:59,0
635,2006/1/28 11:59,0
636,2006/1/28 12:59,0
637,2006/1/28 13:59,0
638,2006/1/28 14:59,0
639,2006/1/28 15:59,0
640,2006/1/28 16:59,0
641,2006/1/28 17:59,0
642,2006/1/28 18:59,0
643,2006/1/28 19:59,0
644,2006/1/28 20:59,0
645,2006/1/28 21:59,0
646,2006/1/28 22:59,0
647,2006/1/28 23:59,0
648,2006/1/29 0:59,0
649,2006/1/29 1:59,0
650,2006/1/29 2:59,0
651,2006/1/29 3:59,0
652,2006/1/29 4:59,0
653,2006/1/29 5:59,0
